order_n,line_no,matrix,sku,description,size,color_code,color,ean,composition,quantity,unit_price,line_discount,amount,pvp,genere,made_in,fabric,tariff_no,wash,bleaching,ironing,dry_cleaning,tumble_dry,net_weight,gross_weight,collection,collection_no,item_category,item_group,launching,brand,product_line
SO25-03660,160000,B126AC076,B126AC07666102,Bobo Choses fleece skirt,4-5 Years,661,PINK,8445782363851,"17% Recycled Cotton, 17% Cotton, 66% Organic Cotton",1,20,0,20,50,GIRL,ES,KNIT,6104520000,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,172","0,176",KID_BABY,SS26M,SKIRTS,MINI,Launching 1,B,KID
SO25-03660,170000,B126AC076,B126AC07666103,Bobo Choses fleece skirt,6-7 Years,661,PINK,8445782363868,"17% Recycled Cotton, 17% Cotton, 66% Organic Cotton",1,20,0,20,50,GIRL,ES,KNIT,6104520000,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,172","0,176",KID_BABY,SS26M,SKIRTS,MINI,Launching 1,B,KID
SO25-03660,180000,B126AC076,B126AC07666104,Bobo Choses fleece skirt,8-9 Years,661,PINK,8445782363875,"17% Recycled Cotton, 17% Cotton, 66% Organic Cotton",1,20,0,20,50,GIRL,ES,KNIT,6104520000,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,172","0,176",KID_BABY,SS26M,SKIRTS,MINI,Launching 1,B,KID
SO25-03660,190000,B126AC017,B126AC01719901,Pickles The Dog T-shirt,2-3 Years,199,OFFWHITE,8445782360300,100% Organic Cotton,1,"14,8",0,"14,8",37,BOY,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,093","0,097",KID_BABY,SS26M,T-SHIRT,SHORT SLEEVE,Launching 1,B,KID
SO25-03660,200000,B126AC017,B126AC01719902,Pickles The Dog T-shirt,4-5 Years,199,OFFWHITE,8445782360317,100% Organic Cotton,1,"14,8",0,"14,8",37,BOY,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,093","0,097",KID_BABY,SS26M,T-SHIRT,SHORT SLEEVE,Launching 1,B,KID
SO25-03660,210000,B126AC017,B126AC01719903,Pickles The Dog T-shirt,6-7 Years,199,OFFWHITE,8445782360324,100% Organic Cotton,1,"14,8",0,"14,8",37,BOY,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,093","0,097",KID_BABY,SS26M,T-SHIRT,SHORT SLEEVE,Launching 1,B,KID
SO25-03660,220000,B126AC017,B126AC01719904,Pickles The Dog T-shirt,8-9 Years,199,OFFWHITE,8445782360331,100% Organic Cotton,1,"14,8",0,"14,8",37,BOY,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,093","0,097",KID_BABY,SS26M,T-SHIRT,SHORT SLEEVE,Launching 1,B,KID
SO25-03660,230000,B126AC009,B126AC00910102,Van Dog T-shirt,4-5 Years,101,WHITE,8445782359830,100% Organic Cotton,1,14,0,14,35,BOY,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,086","0,09",KID_BABY,SS26M,T-SHIRT,SHORT SLEEVE,Launching 1,B,KID
SO25-03660,240000,B126AC009,B126AC00910103,Van Dog T-shirt,6-7 Years,101,WHITE,8445782359847,100% Organic Cotton,1,14,0,14,35,BOY,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,086","0,09",KID_BABY,SS26M,T-SHIRT,SHORT SLEEVE,Launching 1,B,KID
SO25-03660,250000,B126AC003,B126AC00310103,Summer Story long sleeve T-shirt,6-7 Years,101,WHITE,8445782359489,100% Organic Cotton,1,18,0,18,45,BOY,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,115","0,119",KID_BABY,SS26M,T-SHIRT,LONG SLEEVE,Launching 1,B,KID
SO25-03660,260000,B126AC003,B126AC00310104,Summer Story long sleeve T-shirt,8-9 Years,101,WHITE,8445782359496,100% Organic Cotton,1,18,0,18,45,BOY,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,115","0,119",KID_BABY,SS26M,T-SHIRT,LONG SLEEVE,Launching 1,B,KID
SO25-03660,270000,B126AC160,B126AC16045101,Rapid Radish oversized T-shirt,2-3 Years,451,LIGHT BLUE,8445782381534,100% Organic Cotton,1,18,0,18,45,BOY,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,002","0,002",KID_BABY,SS26M,T-SHIRT,LOOSE FIT,Launching 1,B,KID
